,JASA,US,Equity,,,
,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
JASA,05/31/2001,4.55,4.55,4.4,4.4,12100
JASA,06/01/2001,4.41,4.45,4.35,4.39,11000
JASA,06/04/2001,4.39,4.39,4.3,4.35,1400
JASA,06/05/2001,4.4,4.4,4.4,4.4,200
JASA,06/06/2001,4.5,4.5,4.35,4.5,22100
JASA,06/07/2001,4.48,4.48,4.45,4.48,3000
JASA,06/08/2001,4.4,4.4,4.4,4.4,2100
JASA,06/11/2001,4.25,4.36,4.25,4.33,7800
JASA,06/12/2001,4.34,4.34,4.31,4.32,3000
JASA,06/13/2001,4.25,4.26,4.18,4.24,6400
JASA,06/14/2001,4.21,4.21,4.2,4.2,4400
JASA,06/15/2001,4.1,4.2,4.1,4.2,10800
JASA,06/18/2001,4.19,4.19,4.19,4.19,400
JASA,06/19/2001,4.2,4.2,4.2,4.2,2000
JASA,06/20/2001,4.2,4.2,4,4,11400
JASA,06/21/2001,4.01,4.05,4,4.05,14500
JASA,06/22/2001,4.05,4.05,3.91,3.98,8600
JASA,06/25/2001,3.95,4.2,3.7,4.15,83200
JASA,06/26/2001,4.16,4.21,4.15,4.2,20300
JASA,06/27/2001,4.15,4.15,4.1,4.15,5100
JASA,06/28/2001,4.2,4.26,4.1,4.25,5700
JASA,06/29/2001,4.1,4.1,4.05,4.05,3700
JASA,07/03/2001,4.05,4.05,4.05,4.05,100
JASA,07/05/2001,4,4,3.85,3.95,5700
JASA,07/06/2001,3.95,4.05,3.95,4.05,3700
JASA,07/09/2001,4.1,4.1,4,4.05,4000
JASA,07/10/2001,4.15,4.2,4.13,4.2,12900
JASA,07/11/2001,4.19,4.3,4.19,4.3,2800
JASA,07/12/2001,4.3,4.35,4.2,4.3,16900
JASA,07/13/2001,4.4,4.6,4.3,4.5,129200
JASA,07/16/2001,4.6,4.85,4.6,4.8,43800
JASA,07/17/2001,4.81,4.81,4.7,4.75,2300
JASA,07/18/2001,4.75,5,4.75,4.95,30700
JASA,07/19/2001,4.96,4.96,4.55,4.6,45400
JASA,07/20/2001,4.64,4.64,4.5,4.51,9100
JASA,07/24/2001,4.45,4.5,4.45,4.45,11700
JASA,07/25/2001,4.45,4.49,4.45,4.49,6000
JASA,07/27/2001,4.49,4.49,4.49,4.49,14100
JASA,07/30/2001,4.55,4.55,4.36,4.45,5100
JASA,07/31/2001,4.5,4.5,4.45,4.45,800
JASA,08/01/2001,4.45,4.45,4.45,4.45,100
JASA,08/02/2001,4.55,4.55,4.5,4.51,2400
JASA,08/03/2001,4.5,4.51,4.45,4.5,7000
JASA,08/06/2001,4.5,4.5,4.45,4.45,17900
JASA,08/07/2001,4.4,4.6,4.34,4.6,7400
JASA,08/08/2001,4.6,5,4.6,4.8,17500
JASA,08/09/2001,4.81,4.85,4.8,4.85,5600
JASA,08/10/2001,4.84,4.84,4.65,4.7,21700
JASA,08/13/2001,4.68,4.68,4.55,4.59,20300
JASA,08/14/2001,4.59,4.59,4.59,4.59,10100
JASA,08/15/2001,4.59,4.59,4.58,4.59,14700
JASA,08/16/2001,4.5,4.65,4.5,4.65,10800
JASA,08/17/2001,4.65,4.65,4.6,4.63,6200
JASA,08/20/2001,4.74,4.74,4.6,4.65,1600
JASA,08/21/2001,4.6,4.6,4.1,4.25,50500
JASA,08/22/2001,4.2,4.35,4.2,4.35,4300
